,,,,,,,,,,,,,,lat,long
https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%99%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%B1%E0%B8%99+@%E0%B8%AB%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x311d4b0c6b244293:0x11ca466d8ba9bb92!8m2!3d13.3172029!4d100.933207!16s%2Fg%2F11qqlsgpcd!19sChIJk0IkawxLHTERkrupi21GyhE?authuser=0&hl=th&rclk=1,ร้านไอติมนัดกัน @หาดบางแสน,4.0,(4),ไอศกรีม,?,21 17 หมู่2 ถนน มิตรสัมพันธ์ ซอย.12,เปิด,? ปิด 21:00,https://lh5.googleusercontent.com/p/AF1QipOMeDlJhuMnwnbKHQp0fzPCRCevsSRwo5kjLQyN=w163-h92-k-no,,13.3172029!4d100.933207,,"13.3172029,100.933207",13.3172029,100.933207
https://www.google.co.th/maps/place/Wonkintim/data=!4m7!3m6!1s0x3102b5d67b622cd7:0x21417a522eac9ac!8m2!3d13.2741072!4d100.9212811!16s%2Fg%2F11ssjcjdff!19sChIJ1yxie9a1AjERrMnqIqUXFAI?authuser=0&hl=th&rclk=1,Wonkintim,5.0,(1),ไอศกรีม,?,92 บางแสนสาย 1,ปิดอยู่,? เปิด 17:00,https://lh5.googleusercontent.com/p/AF1QipOxYW0iKoz-vD-VbtC3vWavPuKY5aG4IDJx-VgW=w80-h142-k-no,,13.2741072!4d100.9212811,,"13.2741072,100.9212811",13.2741072,100.9212811
https://www.google.co.th/maps/place/%E0%B8%AA%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%B5+%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b4e3a6de3da9:0xa7d7997d7fb5ef59!8m2!3d13.2756376!4d100.931754!16s%2Fg%2F11b6hzr4cn!19sChIJqT3epuO0AjERWe-1f32Z16c?authuser=0&hl=th&rclk=1,สะบายดี ไอศครีม บางแสน,4.2,(119),ร้านของหวาน,?,?,ปิดอยู่,? เปิด 15:00,https://lh5.googleusercontent.com/p/AF1QipM3npeb0mTtjWUnm6scTEG653GNTKDNxgdMwtXG=w92-h92-k-no,,13.2756376!4d100.931754,,"13.2756376,100.931754",13.2756376,100.931754
https://www.google.co.th/maps/place/Yawbo+frozen+yogurt+at+Bangsan/data=!4m7!3m6!1s0x3102b5d51042e105:0x9eb045f1132b607d!8m2!3d13.2707576!4d100.9261715!16s%2Fg%2F11y1zmp9ht!19sChIJBeFCENW1AjERfWArE_FFsJ4?authuser=0&hl=th&rclk=1,Yawbo frozen yogurt at Bangsan,4.3,(10),ไอศกรีม,,,ปิดอยู่,? เปิด 11:00,https://lh5.googleusercontent.com/p/AF1QipPF1-VAN0_hViRAzBVujI-JCjMUqGlhArTa8BbO=w80-h106-k-no,,13.2707576!4d100.9261715,,"13.2707576,100.9261715",13.2707576,100.9261715
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%8A%E0%B8%B1%E0%B8%A2+%E0%B9%81%E0%B8%AA%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%82/data=!4m7!3m6!1s0x3102b54f3a438a89:0x2304e01315da639f!8m2!3d13.2837175!4d100.9291611!16s%2Fg%2F11nwc69dkf!19sChIJiYpDOk-1AjERn2PaFRPgBCM?authuser=0&hl=th&rclk=1,ไอศกรีมมหาชัย แสนสุข,5.0,(1),ไอศกรีม,?,25 2 ถนนบางแสนสาย 4 ใต้,ปิดอยู่,? เปิด 17:00,https://lh5.googleusercontent.com/p/AF1QipPVXTkF-BAP05PVV8aq7jw2YbwcDmrtclhuaQef=w122-h92-k-no,,13.2837175!4d100.9291611,,"13.2837175,100.9291611",13.2837175,100.9291611
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B9%83%E0%B8%99%E0%B8%95%E0%B8%B3%E0%B8%99%E0%B8%B2%E0%B8%99/data=!4m7!3m6!1s0x3102b5e0f440f687:0x839d9068ea343657!8m2!3d13.2850585!4d100.9288723!16s%2Fg%2F11s4w8n_3q!19sChIJh_ZA9OC1AjERVzY06miQnYM?authuser=0&hl=th&rclk=1,ไอติมทอดในตำนาน,5.0,(1),ไอศกรีม,?,7WPH+2GH,,,https://lh5.googleusercontent.com/p/AF1QipMbqogVuso5p-5NADXWk-0rJJRJC2R2Mz6OiTdT=w80-h106-k-no,,13.2850585!4d100.9288723,,"13.2850585,100.9288723",13.2850585,100.9288723
https://www.google.co.th/maps/place/%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1+%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%81%E0%B8%B0%E0%B8%97%E0%B8%B4%E0%B8%AA%E0%B8%94+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3/data=!4m7!3m6!1s0x3102b5006e22c8bd:0xf4e88a62a6efc4c8!8m2!3d13.3005842!4d100.9490303!16s%2Fg%2F11vy1461ml!19sChIJvcgibgC1AjERyMTvpmKK6PQ?authuser=0&hl=th&rclk=1,บางแสนไอศครีม ไอติมกะทิสด สาขาจตุจักร,5.0,(2),ไอศกรีม,?,8W2X+6H9 ซอย ตะวันออกคอนกรีต,,,https://lh5.googleusercontent.com/p/AF1QipPgLDwciZ6A2fG5UxBUmUpyjCyDUzwqB-z5NrHK=w80-h106-k-no,,13.3005842!4d100.9490303,,"13.3005842,100.9490303",13.3005842,100.9490303
https://www.google.co.th/maps/place/Battim:+%E0%B9%81%E0%B8%9A%E0%B8%97%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%A1%E0%B8%AA%E0%B8%94/data=!4m7!3m6!1s0x3102b517236117a5:0xda8649492f2e83e3!8m2!3d13.2777215!4d100.9629245!16s%2Fg%2F11l6j5k8tq!19sChIJpRdhIxe1AjER44MuL0lJhto?authuser=0&hl=th&rclk=1,Battim: แบทติมไอศครีมนมสด,5.0,(1),ไอศกรีม,?,121 52,,,https://lh5.googleusercontent.com/p/AF1QipM8zXybHpT-op1g3HYO3R0TEqieOQd68Pd9aAXh=w80-h106-k-no,,13.2777215!4d100.9629245,,"13.2777215,100.9629245",13.2777215,100.9629245
https://www.google.co.th/maps/place/MIXUE+-+%E0%B8%A7%E0%B8%87%E0%B9%80%E0%B8%A7%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b5ab788699bd:0xce67ef088d18a03e!8m2!3d13.2837569!4d100.9160345!16s%2Fg%2F11kqwm164z!19sChIJvZmGeKu1AjERPqAYjQjvZ84?authuser=0&hl=th&rclk=1,MIXUE - วงเวียนบางแสน,4.4,(169),ไอศกรีม,?,"301, 303 Long Had Rd Muang",ใกล้เปิดแล้ว,? 09:00,https://lh5.googleusercontent.com/p/AF1QipMXEyB4aANl2_fAgH6jLWI1B1EV6i-7jTteksE=w80-h106-k-no,,13.2837569!4d100.9160345,,"13.2837569,100.9160345",13.2837569,100.9160345
https://www.google.co.th/maps/place/Ai-CHA+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b5b2b8b07e89:0x5fa201c3971cab50!8m2!3d13.2811729!4d100.92882!16s%2Fg%2F11vk3w2d89!19sChIJiX6wuLK1AjERUKscl8MBol8?authuser=0&hl=th&rclk=1,Ai-CHA บางแสน,4.2,(13),ไอศกรีม,?,14 1 ถนนบางแสนสาย 4 ใต้,ปิดอยู่,? เปิด 10:00,https://lh5.googleusercontent.com/p/AF1QipNmQC0c2vBqzBkUrZMjXBW43GBLeu3TMcZI_dFU=w122-h92-k-no,,13.2811729!4d100.92882,,"13.2811729,100.92882",13.2811729,100.92882
